변수명,계수,표준오차,오즈비(OR),95%신뢰구간_하한,95%신뢰구간_상한,p값,유의도
const,-1.0603,0.0673,0.3464,0.3036,0.3952,0.0,***
안전조직수준,-0.0081,0.0756,0.992,0.8553,1.1504,0.915,
위원회수준,-0.0565,0.0693,0.945,0.8251,1.0825,0.4145,
인증보유,-0.0733,0.0695,0.9293,0.811,1.0649,0.2917,
전문지도,-0.0514,0.065,0.9499,0.8362,1.079,0.4289,
고용노동부감독,0.1581,0.07,1.1713,1.0211,1.3436,0.024,*
안전보건공단지원,0.1154,0.0767,1.1223,0.9656,1.3045,0.1326,
공사규모,0.302,0.0754,1.3526,1.1669,1.5679,0.0001,***
발주처,0.0851,0.0748,1.0888,0.9403,1.2608,0.2555,
기성공정률,0.4813,0.0679,1.6182,1.4166,1.8485,0.0,***
공사종류,-0.2737,0.0803,0.7605,0.6497,0.8902,0.0007,***
외국인비율,0.244,0.063,1.2763,1.1282,1.444,0.0001,***
