변수명,계수,표준오차,오즈비(OR),95%신뢰구간_하한,95%신뢰구간_상한,p값,유의도
const,-1.0665,0.0676,0.3442,0.3015,0.393,0.0,***
위험성평가수준,0.0333,0.0735,1.0339,0.8951,1.1942,0.6507,
교육훈련도움,-0.0189,0.0825,0.9813,0.8348,1.1535,0.8189,
정리정돈상태,-0.1726,0.082,0.8415,0.7165,0.9882,0.0354,*
작업중지권,0.0444,0.0781,1.0454,0.897,1.2183,0.5698,
작업반장기여,-0.0135,0.082,0.9866,0.8402,1.1585,0.8692,
전문지도,-0.0435,0.0651,0.9574,0.8428,1.0877,0.5039,
고용노동부감독,0.1481,0.0703,1.1597,1.0104,1.331,0.0351,*
안전보건공단지원,0.1133,0.0767,1.12,0.9637,1.3017,0.1396,
공사규모,0.2594,0.069,1.2962,1.1323,1.4838,0.0002,***
발주처,0.0666,0.0754,1.0688,0.922,1.2391,0.3775,
기성공정률,0.479,0.0681,1.6145,1.4128,1.845,0.0,***
공사종류,-0.2854,0.0805,0.7517,0.642,0.8803,0.0004,***
외국인비율,0.2214,0.0636,1.2478,1.1016,1.4134,0.0005,***
